question	context	answer	sql_generado	metrica_etm
How many heads of the departments are older than 56 ?	CREATE TABLE head (age INTEGER)	SELECT COUNT(*) FROM head WHERE age > 56	SELECT COUNT(*) FROM head WHERE age > 56	1,0
List the name, born state and age of the heads of departments ordered by age.	CREATE TABLE head (name VARCHAR, born_state VARCHAR, age VARCHAR)	SELECT name, born_state, age FROM head ORDER BY age	SELECT name, born_state, age FROM head ORDER BY age	1,0
List the creation year, name and budget of each department.	CREATE TABLE department (creation VARCHAR, name VARCHAR, budget_in_billions VARCHAR)	SELECT creation, name, budget_in_billions FROM department	SELECT creation, name, budget_in_billions FROM department	1,0
What are the maximum and minimum budget of the departments?	CREATE TABLE department (budget_in_billions INTEGER)	SELECT MAX(budget_in_billions), MIN(budget_in_billions) FROM department	SELECT MAX(budget_in_billions) AS max_budget, MIN(budget_in_billions) AS min_budget FROM department	0,8
What is the average number of employees of the departments whose rank is between 10 and 15?	CREATE TABLE department (num_employees INTEGER, ranking INTEGER)	SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15	SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15	1,0
What are the names of the heads who are born outside the California state?	CREATE TABLE head (name VARCHAR, born_state VARCHAR)	SELECT name FROM head WHERE born_state <> 'California'	SELECT name FROM head WHERE born_state != 'California'	0,8888888888888888
What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?	CREATE TABLE department (creation VARCHAR, department_id VARCHAR); CREATE TABLE management (department_id VARCHAR, head_id VARCHAR); CREATE TABLE head (head_id VARCHAR, born_state VARCHAR)	SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T3.born_state = 'Alabama'	SELECT DISTINCT d.creation FROM department d JOIN management m ON d.department_id = m.department_id JOIN head h ON m.head_id = h.head_id WHERE h.born_state = 'Alabama'	0,5581395348837209
What are the names of the states where at least 3 heads were born?	CREATE TABLE head (born_state VARCHAR)	SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3	SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3	1,0
In which year were most departments established?	CREATE TABLE department (creation VARCHAR)	SELECT creation FROM department GROUP BY creation ORDER BY COUNT(*) DESC LIMIT 1	SELECT SUBSTR(creation, -4) AS year, COUNT(*) AS department_count FROM department GROUP BY year ORDER BY department_count DESC LIMIT 1	0,7857142857142857
Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?	CREATE TABLE management (department_id VARCHAR, temporary_acting VARCHAR); CREATE TABLE department (name VARCHAR, num_employees VARCHAR, department_id VARCHAR)	SELECT T1.name, T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id WHERE T2.temporary_acting = 'Yes'	SELECT d.name, d.num_employees FROM department d JOIN management m ON d.department_id = m.department_id WHERE m.temporary_acting = 'Yes'	0,5714285714285714
